blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
8912995,1740068175,0xb09a7522669eeb55dfdea387c562b63c0f25aa4b84e1fb564d98df12c0dc4986,224,0x93895f352d7d8fb9230cf9d4969babf175c19f47e96343c8a16c044e19ad4333,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,1.22134807943e-07,Shadow,SHADOW,18,2,1437608,55010000000,976452,1460536,deprecated,4212138
8932025,1740074540,0x8f1bd68c46890b652304ce51ccb364a7e7721ec8525f681b9d01e6e0ec23b208,226,0xae2795adc672305f47d2d4bff8c336956774a645098962182e66f19e074ed8c1,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,3.5077000791e-08,Shadow,SHADOW,18,0,738093,62280000000,496172,496172,deprecated,4193112
8958000,1740083397,0x41462d53d6e11c8153b16c1f8a48e8d0dc11dfc39e11a98344ce1a1734cc5e53,228,0x7932e6fd41918283005427a26f325e021e81b0f6d32fa8f44f7a458814679fa1,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,7.4342561104e-08,Shadow,SHADOW,18,3,738093,64760000000,496172,855974,deprecated,4167137
8983222,1740091971,0xe1554d90fb2c4bc1a2deb9dd4e916da663844dfdc313f6f7d046309b1ca7b729,230,0x3c7f92d71485ed148e09a901dc81306e83ea897a0d34a153222cf75fe595b176,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,4.7485499417000006e-08,Shadow,SHADOW,18,0,738093,95000000000,496172,496172,deprecated,4141915
9117246,1740137166,0x4f0acea78f809609183fc5c3b4f87ca98d52f594907f9f8626adbfdef1c53556,233,0x4f06759d56eb4ee0258066e3e39a9abd0c09c73841983cf1da6a4eb0df1e1a25,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,1.8421085278800002e-07,Shadow,SHADOW,18,3,649178,55010000000,363540,924675,deprecated,4007899
9140288,1740144957,0x63dbcf55faac9fe75d7822687c303094ba54c3103127111a5721a57151c07a0b,249,0x6239bd0fc03921391678f04152b6e41838a128bbbc8d801aa074c658510d451e,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,1.8992234545e-08,Shadow,SHADOW,18,3,2211836,55010000000,1505604,2425990,deprecated,3984857
9140288,1740144957,0x63dbcf55faac9fe75d7822687c303094ba54c3103127111a5721a57151c07a0b,249,0x6239bd0fc03921391678f04152b6e41838a128bbbc8d801aa074c658510d451e,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,3.2318031167e-08,Shadow,SHADOW,18,3,2211836,55010000000,1505604,2425990,deprecated,3984857
9228760,1740176046,0x4fc11257c29cb737f129815922441fecf984bdb43ee45042440715ce4ad6213a,251,0x3af0aadda2703aac0264ee06b5c218da35021bfc7d7fbb57f274a359cb972bbc,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,6.697341725900001e-08,Shadow,SHADOW,18,1,1142967,55010000000,770239,1006228,deprecated,3896387
9228760,1740176046,0x4fc11257c29cb737f129815922441fecf984bdb43ee45042440715ce4ad6213a,251,0x3af0aadda2703aac0264ee06b5c218da35021bfc7d7fbb57f274a359cb972bbc,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,1.11931369104e-07,Shadow,SHADOW,18,1,1142967,55010000000,770239,1006228,deprecated,3896387
9345091,1740223889,0x3f6a4a3e77bf73958cae37a59a4571ce7d158058e14b1e5fed86bf8484f284e3,253,0xcfe88798e707bdeb21de2a11db7d83a283a03395c29378168f72e0f19f85e897,0x0ac98ce57d24f77f48161d12157cb815af469fc0,0x3333b97138d4b086720b5ae8a7844b1345a33333,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,7.1820781616e-08,Shadow,SHADOW,18,0,1142967,55010000000,770239,770239,deprecated,3780058
